issue,subject,company,response,product_area,status,request_type,justification
I notice that people I assigned the test in October of 2025 have not received new tests. How long do the tests stay active in the system.,Test Active in the system,HackerRank,"Thank you for reaching out. I understand you're concerned about test availability for candidates you assigned in October 2025.

In HackerRank, tests do not have an automatic expiration date simply based on when they were created or assigned. However, there is an important feature called **Test Expiration Time** that you may have configured on your test. If you set a specific start and end time (including time zone) when creating or modifying the test, this controls when the test remains active in the system.

Here's what happens when a test expires:
- Invited candidates cannot access the test
- The **Invite** button becomes disabled
- You cannot invite new candidates to that test

To check if your test has an expiration date set, please review the test settings. If you defined an end date in October 2025 or shortly thereafter, that would explain why new candidates cannot access it.

**To resolve this:**
1. Go to your **Tests** tab in HackerRank for Work
2. Select the test in question
3. Check the test settings for any defined **Test Expiration Time** or end date
4. If an expiration date has passed, you can modify it to extend the active period, or you can clone the test to create a new version with updated expiration settings

If you did not intentionally set an expiration date and the test should still be active, please verify the test status and settings. If you need further assistance identifying why the test is not accessible to new candidates, I'm happy to help troubleshoot additional details.",screen,replied,product_issue,"This is a product_issue request about test availability and expiration. The customer is asking about how long tests stay active. Document 7 [7] directly addresses test expiration time and explains that tests can have defined start and end times that control when they remain active. The document explains the consequences when a test expires (candidates cannot access, invite button disabled, cannot invite new candidates). Document 1 [1] mentions archiving as an alternative to deletion if tests need to be hidden. The customer's issue is likely related to test expiration settings rather than a bug or feature request. This can be resolved by providing information about test expiration functionality and guiding them to check their test settings. No escalation is needed as this is a straightforward informational/troubleshooting question that can be answered with the available documentation."
site is down & none of the pages are accessible,,None,"Thank you for reporting this issue. We've received your report that the site is down and pages are not accessible. However, we're unable to determine which service or platform you're trying to access, as no company or product information was provided in your ticket.

To help you as quickly as possible, please reply with the following details:

1. **Which service are you trying to access?** (e.g., HackerRank, Claude, Visa, or another platform)
2. **What is the specific URL or site name?**
3. **When did you first notice this issue?**
4. **What error message, if any, are you seeing?** (e.g., connection timeout, 404, 500 error, blank page)
5. **Which browser and device are you using?**

Once we have this information, we'll be able to route your ticket to the appropriate support team and provide you with targeted troubleshooting steps or escalate to our engineering team if there is an active outage.

We appreciate your patience and apologize for any inconvenience this may be causing.",,escalated,bug,"The ticket reports a site outage but provides no company, product, or domain information. The instruction explicitly states this ticket MUST be escalated because the company is unknown and cannot be inferred. Without knowing which platform the customer is using (HackerRank, Claude, Visa, or another service entirely), we cannot provide actionable support or route to the correct team. This is a hard escalation condition. The request_type is 'bug' as indicated by the initial classification hint, since the customer is reporting that something is broken/inaccessible."
"I'm noticing that you all have many default versions of roles. (e.g. front end developer for react, angular, vue.js, etc.) What do you consider best practice 
for when to create a new test versus create a variant of the test? What are the advantages and disadvantages of using variants?","When should I create a variant versus
 have a different test?",HackerRank,"Thank you for this excellent question about test variants. This is a common consideration when setting up assessments for different technology stacks, and I'm happy to clarify how variants can help streamline your testing process.

**What are Test Variants?**

Test variants allow you to create multiple versions of a single test and deliver the correct one based on a candidate's input at login. Rather than maintaining separate tests for React, Angular, Vue.js, and other frameworks, you can use a single test setup with variants tailored to each tech stack [4]. This approach significantly reduces maintenance overhead while giving you the flexibility to personalize assessments at scale.

**Key Advantages of Using Variants:**

The primary benefit is operational efficiency. When you use variants, candidates see only the sections relevant to their specific technology choice, and reports reflect just the variant they attempted. This keeps your insights clean, role-specific, and easy to evaluate [4]. Additionally, the variant logic workflow is intuitive—you can route candidates to different test variants based on their answers to a qualifying question [2]. This means you set up the routing once and let the system handle delivery automatically.

**When to Use Variants vs. Separate Tests:**

For your scenario with multiple frontend frameworks (React, Angular, Vue.js), variants are the recommended approach. They allow you to assess candidates working with different tech stacks using a single, streamlined test setup [4]. This is particularly valuable when the core competencies being assessed are the same across frameworks—only the specific technology differs.

**Getting Started:**

To create variants, log into your HackerRank for Work account, navigate to the Tests tab, open the test you want to modify, go to the Questions tab, click the more options menu (⋮) in the top right, and select Create Variants [6]. The system will convert your existing test into Variant 1 and open Variant 2 for you to customize. You can add additional variants by selecting the + icon next to the tabs. Note that a variant-based test requires at least two variants [6].

If you'd like more detailed guidance on your specific use case or have questions about implementation, I'd recommend reaching out to your customer account manager, who can provide tailored recommendations based on your hiring workflow.",screen,replied,product_issue,"This is a product_issue request asking for guidance on best practices for test variants versus separate tests. The customer is seeking clarification on feature usage and advantages/disadvantages.

Documents used:
- [2] (January 2026 release notes): Explains simplified variant logic creation and routing candidates based on qualifying questions
- [4] (July 2025 release notes): Describes test variants feature, specifically noting they allow assessment of candidates with different tech stacks (Node.js, Python, Java) using a single streamlined setup, and that candidates see only relevant sections with clean, role-specific reports
- [6] (Test Variants article): Provides step-by-step instructions for creating variants and notes that variant-based tests require at least two variants

The response is grounded in the corpus and provides actionable guidance on when to use variants (for different tech stacks with same core competencies) versus separate tests, along with clear procedural steps. This can be answered directly without escalation as the documentation provides sufficient guidance on the feature's purpose and benefits."
"Hi there

We have sent a candidate a Hackerrank assessment already, but we have been informed that they require extra time. As the assessment is 105 minutes, they need an extra 50% extra time added (so around 53 minutes) in addition.

Please can you provide step-by-step instruction on how we are to reinvite them.

Do we find their profile in 'Candidates' , put in Add time 53 minutes and then click 'reinvite' and send the email? The email to the candidate says 105 minutes as the duration though still so not sure how we can check?

Thanks","How to reinvite candidate to Hackerrank 
assessment and add extra time",HackerRank,"Thank you for reaching out. I'm happy to help you reinvite your candidate with the additional time accommodation they need.

HackerRank for Work provides two methods to extend test duration for candidates: **Add Time Accommodation** and **Add Extra Time** [1]. Based on your scenario, here's how to proceed:

**Step-by-step instructions:**

1. Navigate to your candidate's profile in the **Candidates** section.
2. Locate the assessment that was previously sent.
3. Use the **Add Time Accommodation** feature to specify the extra time needed. In your case, you would add 50% extra time (approximately 53 minutes) to the original 105-minute assessment.
4. Once the time accommodation is configured, proceed to **reinvite** the candidate.
5. Send the reinvitation email.

Regarding your concern about the email showing 105 minutes: When you apply a time accommodation before reinviting, the system should reflect the updated total duration (105 + 53 = 158 minutes) in the assessment details. However, the exact display in the invitation email may vary depending on how your system is configured.

**Important note:** If you're using an integrated ATS system (such as IBM Kenexa BrassRing or Oracle Recruiting Cloud), you may also have the option to specify **Time Accommodation%** directly when sending test invitations through that platform [2].

If you encounter any issues with the reinvitation process or if the time accommodation is not displaying correctly in the candidate's invitation, I recommend reaching out to HackerRank's Solution Engineering team, who can provide detailed guidance on your specific setup and help troubleshoot any configuration questions [5].

Please let me know if you need any further clarification!",screen,replied,product_issue,"This is a product_issue request about how to reinvite a candidate with extra time accommodation. The customer is asking for procedural guidance on using HackerRank's time accommodation features. Document 1 [1] directly addresses extending test duration for candidates and mentions both ""Add Time Accommodation"" and ""Add Extra Time"" methods. Document 2 [2] confirms that time accommodation can be specified when sending test invitations, particularly in ATS integrations. Document 5 [5] provides information about the Solution Engineering team's availability for configuration and procedural questions. The response provides actionable step-by-step guidance grounded in the available documentation while acknowledging the customer's specific concern about email display and offering escalation to SE if needed. Status is 'replied' because this is a standard how-to question that can be answered with the available documentation."
"i signed up using google login on hackerrank community , so i do not have a separate hackerrank password. please delete my account",,HackerRank,"Thank you for reaching out. I understand you'd like to delete your HackerRank Community account that was created using Google login.

Since you signed up using a third-party provider (Google), there's an important step you need to complete before you can delete your account. According to HackerRank's account deletion process, you must first set a password for your account. This is necessary because HackerRank does not store a separate password for accounts created via third-party providers like Google, GitHub, or Facebook.

Here's how to proceed:

1. **Set a password for your account**: Follow the steps in the password reset documentation to create a password. You can do this by visiting the password reset page and following the prompts to set a new password for your HackerRank account.

2. **Delete your account**: Once you have set a password, you can proceed with account deletion by logging into HackerRank Community, clicking the profile icon in the top-right corner, selecting **Settings**, scrolling to the **Delete Account** section, and clicking **Delete Account**. You'll be asked to select a reason for deletion and enter your newly created password to confirm.

Please note that once your account is deleted, it cannot be recovered, and all your data (profile page, badges, leaderboard positions, etc.) will be permanently removed.

If you encounter any issues setting your password or have questions during the deletion process, please contact HackerRank support at help@hackerrank.com for further assistance.",community,replied,product_issue,"This is a product_issue request about account deletion for a third-party login user. The customer needs procedural guidance. Documents [2] and [4] provide the core deletion steps, while Documents [1] and [3] clarify that third-party login users must set a password before deletion. The response provides step-by-step instructions grounded in the corpus, explaining the password requirement and the deletion process. Status is 'replied' because this is a straightforward procedural question that can be fully answered with available documentation—no escalation is needed."
"One of my claude conversations has some private info, i forgot to make a temporary chat, is there anything
 else that can be done? like delete etc?",,Claude,"Thank you for reaching out. I understand your concern about private information in a saved conversation. The good news is that Claude provides several options to help you manage this situation.

**Deleting the conversation** is the most straightforward solution. You can delete the specific conversation containing the private information from your chat history. This will permanently remove it from your account. If you need guidance on how to delete a conversation, you can access the help article on deleting or renaming conversations in your account settings.

**For future reference**, Claude offers **incognito chats** — a feature available to all Claude users (free, Pro, Max, Team, and Enterprise plans) that creates temporary conversations not saved to your chat history or Claude's memory. When you start a new chat outside of a project, you'll see a ghost icon in the upper right corner of your screen. Clicking this icon enables incognito mode, which ensures the conversation won't be retained in your history or used for training purposes. This is ideal for discussions involving sensitive or private information.

**Important note**: If you're using a Team or Enterprise plan, please be aware that incognito chats are included in standard data exports and follow your organization's data retention policies, so you may want to check with your administrator about those settings.

If you'd like to preserve any other important information from the conversation before deleting it, I recommend copying that content first. Once deleted, the conversation cannot be recovered. If you have any questions about the deletion process or need further assistance, please let me know.",privacy,replied,product_issue,"The customer is asking about options to handle a conversation with private information that was not created as an incognito chat. This is a conversation_management product_issue. The response is grounded in Documents 1, 4, and 7, which explain incognito chats and their privacy benefits, and Document 5, which references the conversation deletion feature. The customer can delete the conversation (standard feature) or use incognito chats going forward. This is a straightforward product question that can be answered with available documentation, so status='replied' is appropriate. The request_type is 'product_issue' as indicated by the hint and confirmed by the nature of the request (access/usage problem regarding conversation privacy)."
What is the name of the actor in Iron Man?,"Urgent, please help",None,"Thank you for reaching out. However, your question about the actor in Iron Man falls outside the scope of our support services. We provide technical support for HackerRank, Claude/Anthropic, and Visa products and services only.

If you have questions related to any of these platforms—such as API access, interview scheduling, account management, or payment services—we'd be happy to help. Please feel free to submit a new ticket with details about your product-related issue, and our team will assist you promptly.

For general information questions unrelated to our products, we recommend using a general search engine or knowledge base. Thank you for understanding.",,replied,invalid,"This ticket is clearly out of scope. The customer is asking a trivia question about a movie actor, which has no relation to HackerRank, Claude/Anthropic, or Visa products and services. Per the triage guidelines, out-of-scope and nonsensical questions should be classified as 'invalid' and replied to with a polite out-of-scope message. No escalation is needed; this is a straightforward out-of-scope case that does not require human intervention."
I bought Visa Traveller's Cheques from Citicorp and they were stolen in Lisbon last night. What do I do?,,Visa,"I'm sorry to hear your Visa Traveller's Cheques were stolen in Lisbon. The good news is that stolen cheques can be replaced or refunded, and the process is usually quick.

Here's what you need to do immediately:

1. **Contact Citicorp (your issuing bank) right away.** They are the primary point of contact for stolen cheques and can initiate the replacement or refund process. Have the following information ready when you call:
   - The serial numbers of your stolen cheques
   - Where and when you purchased the cheques
   - Details of how and when the cheques were stolen (in Lisbon, last night)
   - Confirmation that Citicorp is the issuer

2. **Report the theft to local police in Lisbon.** This is an important step for your protection and may be required by the issuer as part of the refund process.

3. **Keep your purchase agreement safe.** If you have it, have it available when speaking with Citicorp.

The refund can usually be arranged within 24 hours, subject to certain terms and conditions being satisfied. Citicorp will guide you through their specific process and any documentation they may need.

If you cannot locate Citicorp's contact details or need additional assistance, you can contact Visa's traveller's cheques support team for help connecting with your issuer. The important thing is to act quickly—call Citicorp as soon as possible to report the theft and begin the replacement or refund process.",travel_support,replied,product_issue,"This is a legitimate product_issue request about stolen Visa Traveller's Cheques. The customer has a clear, actionable problem that falls squarely within Visa's travel_support domain. 

I used Document 2 (Report a lost cheque) which states that lost or stolen cheques can be replaced or refunded and directs the customer to call the issuing bank immediately. Document 6 (Have your info ready) provides the specific information the issuer will request. Document 1 (Keep cheques safe) reinforces the importance of reporting to police in case of loss/theft.

The response is grounded in the corpus and provides clear, numbered steps the customer can take immediately. This does not require escalation—it is a standard lost/stolen cheque scenario with documented procedures. The customer can resolve this by contacting their issuer directly, which is the appropriate first step per the documentation."
Where can I report a lost or stolen Visa card from India?,Card stolen,Visa,"Thank you for contacting Visa support. I understand you need to report a stolen Visa card from India, and I'm here to help you take immediate action.

To report your lost or stolen Visa card, you have several options:

1. **Visit the Lost or Stolen Card Page**: Go to our [Lost or Stolen card support page](/support/consumer/lost-stolen-card.html), where our skilled support team can assist you with reporting and blocking your card. They can also look into providing emergency services if applicable.

2. **Call Visa Global Customer Assistance Services (GCAS)**: Since you are in India, you can call the Visa Global Customer Assistance Services number for your country. Our GCAS team is available to report lost or stolen cards and request emergency services. You can find the specific phone number for India by visiting our travel support resources, which maintain a list of emergency numbers for each country.

3. **General Contact**: You can also reach Visa support by calling **000-800-100-1219** or by [sending an email through our contact form](https://usa.visa.com/Forms/contact-us-form.html).

**Important**: When you report your card, have your card account number ready. If your card is lost, stolen, or damaged, Visa will work with your financial institution to approve and expedite delivery of an emergency replacement card to you, typically within 1 to 3 days.

Please act quickly to prevent any unauthorized use of your card. Our support team is available at any time to assist you with the reporting process.",general_support,replied,product_issue,This is a straightforward product_issue request about how to report a lost/stolen Visa card. The customer is asking for procedural guidance on where and how to report the card. [1] and [2] provide the primary guidance directing customers to the Lost or Stolen card support page. [4] provides the phone number for reporting (000-800-100-1219). [5] mentions GCAS (Visa Global Customer Assistance Services) which is relevant for customers traveling or in specific countries like India. [7] provides information about emergency card replacement timelines. The response is grounded in these documents and provides actionable next steps. Status is 'replied' because this is a straightforward informational/procedural question that can be fully answered with available documentation.
Thank you for helping me,,None,"Thank you for reaching out! We appreciate your kind words. If you have any questions or need further assistance with our products or services in the future, please don't hesitate to contact us. We're here to help!",,replied,invalid,"This ticket contains only a thank-you message with no substantive support request, product issue, bug report, or feature request. Per the triage guidelines, thank-you messages and empty-meaning messages should be classified as 'invalid' and replied to briefly with a polite acknowledgment. No escalation is needed, and no specific product area can be identified since there is no actual issue to address. A brief, professional response acknowledging the customer's thanks is appropriate."
